station_id,n_samples,mae,rmse,r2,actual_mean_pm25,predicted_mean_pm25
TG003,7063,9.598746486751853,14.542850037332492,0.5387166566315276,37.06689791873142,39.50285937403647
TG002,7078,9.895727766338261,15.267247175145267,0.3914681419347814,31.443946029951963,36.790230427936294
TG004,6484,12.14787856705905,18.910252322012433,0.3142932251253261,38.195866748920416,43.989974967128774
RJ004,7279,14.086891868953964,23.54221270802831,-0.5990031803549332,33.75182167880203,42.45797903391338
KL008,6418,14.82036475401201,23.388570537896083,-0.47618297424739686,22.22986132751636,31.3900380547673
RJ006,7193,17.859417511833808,32.43541268900094,0.290343836838898,48.031158070346166,53.19008011249811
RJ005,7001,18.211135298662604,32.358757690655466,0.37032007154396196,58.2855492072561,60.20243218428338
DL012,7044,33.81564734768691,58.6681438849848,0.6227107726236634,91.75094264622373,92.96181338419635
DL034,7189,34.032075356899874,58.48101208923085,0.6863021346872444,109.51001530115454,104.67431951255655
UP016,7237,38.42792794865799,62.11762723573915,0.5784974531740472,119.61412878264474,122.62481563974518
